name,born,position,debut,stats
John Bentley,"
circa 1847, Derbyshire
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Reginald Birkett,"
March 28, 1849, London
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Goals': '0', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '1'}"
Benjamin Burns,"
May 28, 1848, Perth
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
John Clayton,"
August 24, 1848, Liverpool
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Charles Crompton,"
October 21, 1848, Cork
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Alfred Davenport,"
May 5, 1849, Oxford
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
John Dugdale,"
October 15, 1851, Salford
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Arthur Gibson,"
July 14, 1844, New Forest, Hampshire
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Joseph Green,"
April 28, 1846, W Ham
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Arthur Guillemard,"
December 18, 1845, Lewisham
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
