name,born,position,debut,matches_played,match_starts,sub_starts,points,tries,convertions,penalties,drop_goals,won,lost,draw
John Bentley,"
circa 1847, Derbyshire
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ",2,2,0,0,0,0,0,0,0,1,1
Reginald Birkett,"
March 28, 1849, London
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",4,4,0,0,1,0,0,0,0,2,1
Benjamin Burns,"
May 28, 1848, Perth
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
John Clayton,"
August 24, 1848, Liverpool
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Charles Crompton,"
October 21, 1848, Cork
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Alfred Davenport,"
May 5, 1849, Oxford
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
John Dugdale,"
October 15, 1851, Salford
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Arthur Gibson,"
July 14, 1844, New Forest, Hampshire
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Joseph Green,"
April 28, 1846, W Ham
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Arthur Guillemard,"
December 18, 1845, Lewisham
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ",2,2,0,0,0,0,0,0,0,1,1
Alfred Hamersley,"
October 8, 1848, Great Haseley, Oxon
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",4,4,0,0,1,0,0,0,0,2,1
Harry Luscombe,"
May 25, 1848, Forest Hill, Kent
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Arthur Lyon,"
August 4, 1851, W Derby
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
William MacLaren,"
(guess: regd Q2), Chorlton, Lancashire
   ", Three-quarters,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Richard Osborne,"
May 20, 1848, Middleham, Yorks
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Charles Sherrard,"
December 25, 1848, Kensington, London
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",2,2,0,0,0,0,0,0,0,1,1
Frederic Stokes,"
July 12, 1850, Greenwich
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",3,3,0,0,0,0,0,0,0,1,1
Frank Tobin,"
September 23, 1849, Liverpool
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Dawson Turner,"
December 15, 1846, Calcutta
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",6,6,0,0,0,0,0,0,0,3,1
Henry Turner,"
January 23, 1850, Wartling, Sussex
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ",1,1,0,0,0,0,0,0,0,0,1
Thomas Batson,"
May 18, 1846, Hentland, Hereford
   ", Forward,"England v Scotland at The Oval, Feb 5, 1872 ",3,3,0,0,0,0,0,0,0,3,0
James Body,"
September 3, 1846, Tenterden, Kent
   ", Forward,"England v Scotland at The Oval, Feb 5, 1872 ",2,2,0,0,0,0,0,0,0,1,0
James Bush,"
July 28, 1850, Cawnpore
   ", Forward,"England v Scotland at The Oval, Feb 5, 1872 ",5,5,0,0,0,0,0,0,0,3,0
Frederick Currey,"
May 3, 1849, Kent
   ", Forward,"England v Scotland at The Oval, Feb 5, 1872 ",1,1,0,0,0,0,0,0,0,1,0
Francis d'Aguilar,"
December 11, 1849, Meerut, Bengal
   ", Forward,"England v Scotland at The Oval, Feb 5, 1872 ",1,1,0,0,1,0,0,0,0,1,0
