name,born,position,debut,stats
Henri Amand,"
September 17, 1873, Paris
   ", Fly-half,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Albert Branlat,"
November 15, 1879, Saint-Vivien-de-Medo
   "," Prop, Lock","France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '2', 'Tries': '0', 'Conv': '1', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '3', 'Draw': '0'}"
Noel Cessieux,"
December 22, 1879, Andance
   ", No. 8,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Marcel Communeau,"
September 11, 1885, Beauvais
   "," Wing, Lock, No. 8","France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '21', 'Start': '21', 'Sub': '0', 'Pts': '9', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '20', 'Draw': '0'}"
William Crichton,"
December 1881, Cockermouth
   ", Fullback,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Paul Dedeyn,"
December 11, 1880, Moulineaux
   ", Hooker,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Jacques Dufourcq,"
August 19, 1881, Salies-de-Bearn
   "," Lock, Flanker","France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '4', 'Draw': '0'}"
Georges Jerome,"
circa 1883, Cayenne
   ", Lock,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Henri Lacassagne,"
December 27, 1883, Viella
   ", Scrum-half,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Gaston Lane,"
January 31, 1883, Paris
   "," Wing, Centre","France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '16', 'Start': '16', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '15', 'Draw': '0'}"
Henri Levee,"
March 17, 1885, Paris
   ", Centre,"France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Allan Muhr,"
January 23, 1882, Philadelphia, PA, United States
   "," Prop, Lock","France v New Zealand at Parc des Princes, Jan 1, 1906 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '6', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '3', 'Draw': '0'}"
