name,born,position,debut,stats
William Allen,"
February 9, 1855, West Derby, Lancs
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
George Andrews,"
date unknown, ?
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
W.H. Ash,"
date unknown, ?
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '3', 'Draw': '0'}"
Maurice Barlow,"
May 10, 1850, Dublin
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Richard Bell,"
circa 1847, ?
   ", Three-quarters,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Brab Casement,"
August 19, 1852, Ballycastle, Co Antri
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '3', 'Draw': '0'}"
Abram Combe,"
July 16, 1852, ?
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Henry Cox,"
December 6, 1852, Bangalore
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '4', 'Draw': '0'}"
Abraham Cronyn,"
September 3, 1855, ?
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '3', 'Draw': '0'}"
William Gaffikin,"
July 31, 1853, ?
   ", Forward,"England v Ireland at The Oval, Feb 15, 1875 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
