name,born,position,debut,stats
Enrico Allevi,"
date unknown
   ", Lock,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '2', 'Start': '1', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Tommaso Altissimi,"
date unknown
   ", Prop,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Aldo Balducci,"
date unknown
   ", No. 8,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Vittorio Barzaghi,"
date unknown
   ", Lock,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
Ottavio Bottonelli,"
circa 1911, Firenze, FI
   ", Hooker,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '3', 'Tries': '0', 'Conv': '0', 'Pens': '1', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '4', 'Draw': '0'}"
Luigi Bricchi,"
December 14, 1904, Gemonio, VA
   ", Prop,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '3', 'Start': '2', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
Lucio Cesani,"
date unknown
   ", Wing,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '2', 'Draw': '0'}"
Domenico Dondana,"
date unknown
   ", Fullback,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Giovanni Dora,"
date unknown
   ", Centre,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Uberto Modonesi,"
June 3, 1907, Brescia, BS
   ", Scrum-half,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Piero Paselli,"
circa 1907
   ", Flanker,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
Carlo Raffo,"
date unknown
   ", Prop,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '1', 'Draw': '1'}"
Paolo Vinci II,"
February 6, 1908, New York, NY, United States
   ", Centre,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
Francesco Vinci III,"
May 2, 1910, New York, NY, United States
   ", Centre,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '15', 'Start': '15', 'Sub': '0', 'Pts': '20', 'Tries': '4', 'Conv': '0', 'Pens': '0', 'Drop': '2', 'GfM': '0', 'Won': '7', 'Lost': '6', 'Draw': '2'}"
Pietro Vinci IV,"
November 25, 1912, Briey
   ", Centre,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '13', 'Start': '13', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '7', 'Lost': '5', 'Draw': '1'}"
Amando Nisti,"
August 6, 1898, Roma, RM
   ", Prop,"Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '2', 'Start': '1', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Giovanni Paolin,"
date unknown
   ","
","Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '1', 'Start': '0', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Eugenio Vinci I,"
January 15, 1900, Santo Domingo, Dominican
   ","
","Spain v Italy at Barcelona, May 20, 1929 ","{'Mat': '1', 'Start': '0', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Giuseppe Bigi,"
circa 1910
   ", Scrum-half,"Italy v Spain at Milan, May 29, 1930 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '0', 'Draw': '0'}"
Alberto di Bello,"
circa 1905
   ", Hooker,"Italy v Spain at Milan, May 29, 1930 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '0', 'Draw': '1'}"
Angelo Morimondi,"
February 4, 1902, Milano, MI
   ", Fullback,"Italy v Spain at Milan, May 29, 1930 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '0', 'Draw': '1'}"
Ernesto Nathan,"
date unknown
   ", Centre,"Italy v Spain at Milan, May 29, 1930 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Giuseppe Sessa,"
October 25, 1895
   ", Lock,"Italy v Spain at Milan, May 29, 1930 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Amerigo Centinari,"
date unknown
   ","
","Italy v Spain at Milan, May 29, 1930 ","{'Mat': '1', 'Start': '0', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Leandro Tagliabue,"
circa 1909
   ", Prop,"Italy v Spain at Milan, May 29, 1930 ","{'Mat': '7', 'Start': '6', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '2', 'Draw': '1'}"
Ivan Aloisio,"
December 26, 1912, Genova, GE
   ", No. 8,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '7', 'Tries': '1', 'Conv': '2', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '5', 'Lost': '1', 'Draw': '1'}"
Aurelio Cazzini,"
March 26, 1908, Gaggiano, MI
   ", Wing,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '15', 'Start': '15', 'Sub': '0', 'Pts': '12', 'Tries': '4', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '9', 'Lost': '4', 'Draw': '2'}"
Felice Colombo,"
October 8, 1905, Milano, MI
   ", Lock,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Alberto Crespi,"
circa 1906
   ", Lock,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '1', 'Draw': '1'}"
Giuseppe Gattoni,"
circa 1908
   ", Centre,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '0', 'Draw': '0'}"
Renzo Maffioli,"
January 10, 1908, Milano, MI
   ", Centre,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '11', 'Start': '11', 'Sub': '0', 'Pts': '10', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '1', 'GfM': '0', 'Won': '7', 'Lost': '2', 'Draw': '2'}"
Umberto Moretti,"
September 15, 1912, Milano, MI
   ", Scrum-half,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '7', 'Start': '6', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '5', 'Lost': '1', 'Draw': '1'}"
Ferdinando Tozzi,"
June 23, 1911, Napoli, NA
   ","
","Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '1', 'Start': '0', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Fernando Trebbi,"
March 24, 1909, Bologna, BO
   ", Fullback,"Italy v Czechia at Milan, Feb 12, 1933 ","{'Mat': '2', 'Start': '1', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '0', 'Draw': '0'}"
Riccardo Aymonod,"
circa 1908
   ", Fly-half,"Czechia v Italy at Prague, Apr 16, 1933 ","{'Mat': '4', 'Start': '3', 'Sub': '1', 'Pts': '6', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '1'}"
Giogio Bortolini,"
July 6, 1910, Budrio, BO
   ", Prop,"Czechia v Italy at Prague, Apr 16, 1933 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '1'}"
Mario Campagna,"
September 8, 1910, Milano, MI
   ", Scrum-half,"Czechia v Italy at Prague, Apr 16, 1933 ","{'Mat': '8', 'Start': '8', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '3', 'Draw': '2'}"
Arrigo Marescalchi,"
date unknown
   ", No. 8,"Czechia v Italy at Prague, Apr 16, 1933 ","{'Mat': '3', 'Start': '2', 'Sub': '1', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '1'}"
Eraldo Sgorbati,"
May 26, 1911, Novi Ligure, AL
   ", Flanker,"Czechia v Italy at Prague, Apr 16, 1933 ","{'Mat': '12', 'Start': '12', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '5', 'Lost': '6', 'Draw': '1'}"
Ariosto Agosti,"
February 21, 1909, Stradella, PV
   ","
","Czechia v Italy at Prague, Apr 16, 1933 ","{'Mat': '1', 'Start': '0', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Luigi Brighetti,"
circa 1910
   ", Flanker,"Catalunya v Italy at Barcelona, Apr 14, 1934 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '0', 'Draw': '1'}"
Gastone de Angelis,"
December 26, 1913, Lecce, LE
   ", Lock,"Catalunya v Italy at Barcelona, Apr 14, 1934 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '2'}"
Angelo Albonico,"
June 10, 1912, Torino, TO
   ", Lock,"Italy v Romania at Milan, Dec 26, 1934 ","{'Mat': '10', 'Start': '10', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '5', 'Draw': '1'}"
Giuseppe Piana,"
circa 1912
   ", Fly-half,"Italy v Romania at Milan, Dec 26, 1934 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '3', 'Draw': '0'}"
Giancarlo Zani,"
March 19, 1909, Milano, MI
   ", Hooker,"Italy v Romania at Milan, Dec 26, 1934 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Orlando Maestri,"
date unknown
   ", Prop,"Italy v Catalunya at Genova, Mar 24, 1935 ","{'Mat': '3', 'Start': '2', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '2', 'Draw': '0'}"
