name,born,position,debut,stats
John Arthur,"
April 25, 1848, Glasgow
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
William Brown,"
May 29, 1852, Glasgow
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '2', 'Draw': '2'}"
Angus Buchanan,"
January 15, 1847, Inverary
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Tom Chalmers,"
March 19, 1850, Glasgow
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '3', 'Draw': '2'}"
Alfred Clunies-Ross,"
circa 1851, Cocos Islands
   ", Fullback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Andrew Colville,"
December 17, 1846, Edinburgh
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
William Cross,"
September 10, 1850, Glasgow
   ", Halfback,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '1', 'Tries': '1', 'Conv': '1', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Daniel Drew,"
circa 1850, Dunoon
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Jim Finlay,"
April 8, 1852, Edinburgh
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Goals': '0', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '2', 'Draw': '1'}"
William Forsyth,"
March 23, 1850, Logie-Easter, Ross
   ", Forward,"Scotland v England at Edinburgh, Mar 27, 1871 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Goals': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
