cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
1,John,Bentley,1847-01-01,TRUE,"Derbyshire, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,England
2,Reginald,Birkett,1849-03-28,FALSE,"London, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,2,1,1,0.5,England
3,Benjamin,Burns,1848-05-28,FALSE,"Perth, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
4,John,Clayton,1848-08-24,FALSE,"Liverpool, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
5,Charles,Crompton,1848-10-21,FALSE,"Cork, Ireland",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
6,Alfred,Davenport,1849-05-05,FALSE,"Oxford, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
7,John,Dugdale,1851-10-15,FALSE,"Salford, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
8,Arthur,Gibson,1844-07-14,FALSE,"New Forest, Hampshire, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
9,Joseph,Green,1846-04-28,FALSE,"W Ham, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
10,Arthur,Guillemard,1845-12-18,FALSE,"Lewisham, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,England
11,Alfred,Hamersley,1848-10-08,FALSE,"Great Haseley, Oxon, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,2,1,1,0.5,England
12,Harry,Luscombe,1848-05-25,FALSE,"Forest Hill, Kent, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
13,Arthur,Lyon,1851-08-04,FALSE,"W Derby, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
14,William,MacLaren,NA,NA,"Chorlton, Lancashire, UK",FALSE,Three-quarters,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
15,Richard,Osborne,1848-05-20,FALSE,"Middleham, Yorks, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
16,Charles,Sherrard,1848-12-25,FALSE,"Kensington, London, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,England
17,Frederic,Stokes,1850-07-12,FALSE,"Greenwich, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,England
18,Frank,Tobin,1849-09-23,FALSE,"Liverpool, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England
19,Dawson,Turner,1846-12-15,FALSE,"Calcutta, India",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,6,6,0,0,0,0,0,0,0,3,1,2,0.5,England
