cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
1,Henri,Amand,1873-09-17,FALSE,"Paris, France",FALSE,Fly-half,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France
2,Albert,Branlat,1879-11-15,FALSE,"Saint-Vivien-de-Medo, France",FALSE,"Prop, Lock",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,2,0,1,0,0,0,0,3,0,0,France
3,Noel,Cessieux,1879-12-22,FALSE,"Andance, France",FALSE,No. 8,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,3,1,0,0,0,0,0,1,0,0,France
4,Marcel,Communeau,1885-09-11,FALSE,"Beauvais, France",FALSE,"Wing, Lock, No. 8",France v New Zealand,Parc des Princes,1906-01-01,21,21,0,9,3,0,0,0,0,1,20,0,0.047619047619047616,France
5,William,Crichton,1881-12-01,TRUE,"Cockermouth, France",FALSE,Fullback,France v New Zealand,Parc des Princes,1906-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France
6,Paul,Dedeyn,1880-12-11,FALSE,"Moulineaux, France",FALSE,Hooker,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France
7,Jacques,Dufourcq,1881-08-19,FALSE,"Salies-de-Bearn, France",FALSE,"Lock, Flanker",France v New Zealand,Parc des Princes,1906-01-01,4,4,0,0,0,0,0,0,0,0,4,0,0,France
8,Georges,Jerome,1883-01-01,TRUE,"Cayenne, France",FALSE,Lock,France v New Zealand,Parc des Princes,1906-01-01,2,2,0,3,1,0,0,0,0,0,2,0,0,France
9,Henri,Lacassagne,1883-12-27,FALSE,"Viella, France",FALSE,Scrum-half,France v New Zealand,Parc des Princes,1906-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France
10,Gaston,Lane,1883-01-31,FALSE,"Paris, France",FALSE,"Wing, Centre",France v New Zealand,Parc des Princes,1906-01-01,16,16,0,3,1,0,0,0,0,1,15,0,0.0625,France
11,Henri,Levee,1885-03-17,FALSE,"Paris, France",FALSE,Centre,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France
12,Allan,Muhr,1882-01-23,FALSE,"Philadelphia, PA, United States",FALSE,"Prop, Lock",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,6,2,0,0,0,0,0,3,0,0,France
13,Augustin,Pujol,1883-05-10,FALSE,"Toulouse, France",FALSE,Wing,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,2,0,1,0,0,0,0,1,0,0,France
14,Paul,Sagot,1885-01-15,FALSE,"Dijon, France",FALSE,"Wing, Centre",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,5,1,1,0,0,0,0,3,0,0,France
15,Andre,Verges,NA,NA,Not Available,FALSE,"Prop, Lock",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France
16,Pierre,Gaudermen,1882-10-20,FALSE,"Paris, France",FALSE,No. 8,France v England,Parc des Princes,1906-03-22,1,1,0,0,0,0,0,0,0,0,1,0,0,France
17,Albert,Hubert,1884-12-06,FALSE,"Noisy-le-Sec, France",FALSE,Fly-half,France v England,Parc des Princes,1906-03-22,7,7,0,0,0,0,0,0,0,0,7,0,0,France
18,Emile,Lesieur,1885-09-16,FALSE,"Paris, France",FALSE,"Wing, Centre",France v England,Parc des Princes,1906-03-22,12,12,0,6,2,0,0,0,0,0,12,0,0,France
19,Ernest,Lewis,1876-07-28,FALSE,"Cardiff, Wales",FALSE,Centre,France v England,Parc des Princes,1906-03-22,1,1,0,0,0,0,0,0,0,0,1,0,0,France
20,Paul,Maclos,1883-08-19,FALSE,"Amazy, France",FALSE,"Wing, Centre, Flanker",France v England,Parc des Princes,1906-03-22,2,2,0,7,0,2,1,0,0,0,2,0,0,France
