cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
1,John,Bentley,1847-01-01,TRUE,Derbyshire,FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,England,-1.5623885,53.1046782
2,Reginald,Birkett,1849-03-28,FALSE,London,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,2,1,1,0.5,England,-0.1277583,51.5073509
3,Benjamin,Burns,1848-05-28,FALSE,Perth,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,115.8604572,-31.9505269
4,John,Clayton,1848-08-24,FALSE,Liverpool,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,-115.4763241,32.6564981
5,Charles,Crompton,1848-10-21,FALSE,Cork,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,-95.726451,36.060462
6,Alfred,Davenport,1849-05-05,FALSE,Oxford,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,-1.2577263,51.7520209
7,John,Dugdale,1851-10-15,FALSE,Salford,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,-2.2901264,53.48752349999999
8,Arthur,Gibson,1844-07-14,FALSE,"New Forest, Hampshire",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,-1.6327718,50.8758752
9,Joseph,Green,1846-04-28,FALSE,W Ham,FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,England,-115.1397016,36.1101567
10,Arthur,Guillemard,1845-12-18,FALSE,Lewisham,FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,England,-0.0117006,51.4414579
