cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
1,Henri,Amand,1873-09-17,FALSE,Paris,FALSE,Fly-half,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.3522219,48.856614
2,Albert,Branlat,1879-11-15,FALSE,Saint-Vivien-de-Medo,FALSE,"Prop, Lock",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,2,0,1,0,0,0,0,3,0,0,France,-1.035981,45.430846
3,Noel,Cessieux,1879-12-22,FALSE,Andance,FALSE,No. 8,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,3,1,0,0,0,0,0,1,0,0,France,4.799199,45.241521
4,Marcel,Communeau,1885-09-11,FALSE,Beauvais,FALSE,"Wing, Lock, No. 8",France v New Zealand,Parc des Princes,1906-01-01,21,21,0,9,3,0,0,0,0,1,20,0,0.047619047619047616,France,2.0807123,49.42953869999999
5,William,Crichton,1881-12-01,TRUE,Cockermouth,FALSE,Fullback,France v New Zealand,Parc des Princes,1906-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-3.367985,54.663261
6,Paul,Dedeyn,1880-12-11,FALSE,Moulineaux,FALSE,Hooker,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France,0.96609,49.34185
7,Jacques,Dufourcq,1881-08-19,FALSE,Salies-de-Bearn,FALSE,"Lock, Flanker",France v New Zealand,Parc des Princes,1906-01-01,4,4,0,0,0,0,0,0,0,0,4,0,0,France,-0.9248539999999998,43.47055599999999
8,Georges,Jerome,1883-01-01,TRUE,Cayenne,FALSE,Lock,France v New Zealand,Parc des Princes,1906-01-01,2,2,0,3,1,0,0,0,0,0,2,0,0,France,-52.3134531,4.92242
9,Henri,Lacassagne,1883-12-27,FALSE,Viella,FALSE,Scrum-half,France v New Zealand,Parc des Princes,1906-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-0.143068,43.596566
10,Gaston,Lane,1883-01-31,FALSE,Paris,FALSE,"Wing, Centre",France v New Zealand,Parc des Princes,1906-01-01,16,16,0,3,1,0,0,0,0,1,15,0,0.0625,France,2.3522219,48.856614
11,Henri,Levee,1885-03-17,FALSE,Paris,FALSE,Centre,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.3522219,48.856614
12,Allan,Muhr,1882-01-23,FALSE,"Philadelphia, PA, United States",FALSE,"Prop, Lock",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,6,2,0,0,0,0,0,3,0,0,France,-75.1652215,39.9525839
13,Augustin,Pujol,1883-05-10,FALSE,Toulouse,FALSE,Wing,France v New Zealand,Parc des Princes,1906-01-01,1,1,0,2,0,1,0,0,0,0,1,0,0,France,1.444209,43.604652
14,Paul,Sagot,1885-01-15,FALSE,Dijon,FALSE,"Wing, Centre",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,5,1,1,0,0,0,0,3,0,0,France,5.04148,47.322047
15,Andre,Verges,NA,NA,Not Available,FALSE,"Prop, Lock",France v New Zealand,Parc des Princes,1906-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,-122.2636808,37.8009514
16,Pierre,Gaudermen,1882-10-20,FALSE,Paris,FALSE,No. 8,France v England,Parc des Princes,1906-03-22,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.3522219,48.856614
17,Albert,Hubert,1884-12-06,FALSE,Noisy-le-Sec,FALSE,Fly-half,France v England,Parc des Princes,1906-03-22,7,7,0,0,0,0,0,0,0,0,7,0,0,France,2.458625,48.892489
18,Emile,Lesieur,1885-09-16,FALSE,Paris,FALSE,"Wing, Centre",France v England,Parc des Princes,1906-03-22,12,12,0,6,2,0,0,0,0,0,12,0,0,France,2.3522219,48.856614
19,Ernest,Lewis,1876-07-28,FALSE,Cardiff,FALSE,Centre,France v England,Parc des Princes,1906-03-22,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-3.17909,51.48158100000001
20,Paul,Maclos,1883-08-19,FALSE,Amazy,FALSE,"Wing, Centre, Flanker",France v England,Parc des Princes,1906-03-22,2,2,0,7,0,2,1,0,0,0,2,0,0,France,3.577721,47.376593
21,G.,Maurin,NA,NA,Not Available,FALSE,Flanker,France v England,Parc des Princes,1906-03-22,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-122.2636808,37.8009514
22,Theodore,Varvier,1884-04-29,FALSE,Lyon,FALSE,"Fullback, Centre, Fly-half",France v England,Parc des Princes,1906-03-22,6,6,0,0,0,0,0,0,0,0,6,0,0,France,4.835659,45.764043
23,Charles,Beaurin-Gressier,1879-10-25,FALSE,Paris,FALSE,"Prop, No. 8",England v France,Richmond,1907-01-05,2,2,0,0,0,0,0,0,0,0,2,0,0,France,2.3522219,48.856614
24,Marc,Giacardy,1881-02-15,FALSE,Bordeaux,FALSE,"Fly-half, Flanker, Halfback",England v France,Richmond,1907-01-05,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-0.57918,44.837789
25,Henri,Isaac,1883-05-07,FALSE,Basse-Terre,FALSE,Fullback,England v France,Richmond,1907-01-05,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-61.73169900000001,15.9965761
26,Henri,Martin,1888-08-29,FALSE,Cayenne,FALSE,"Fullback, Centre",England v France,Richmond,1907-01-05,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-52.3134531,4.92242
27,Paul,Mauriat,1887-05-27,FALSE,Neuville-sur-Saone,FALSE,"Prop, Hooker, Lock",England v France,Richmond,1907-01-05,19,19,0,5,1,1,0,0,0,1,18,0,0.05263157894736842,France,4.8410209,45.876133
28,A.,Poirier,NA,NA,Not Available,FALSE,Hooker,England v France,Richmond,1907-01-05,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-122.2636808,37.8009514
29,Charles,Vareilles,1885-07-25,FALSE,"Poulo Condor, French Ind",FALSE,Wing,England v France,Richmond,1907-01-05,5,5,0,4,0,0,0,1,0,0,5,0,0,France,106.6114474,8.7009282
30,Georges,Borchard,1885-12-25,FALSE,Bordeaux,FALSE,"Hooker, Lock, Flanker",France v England,Colombes,1908-01-01,5,5,0,0,0,0,0,0,0,0,5,0,0,France,-0.57918,44.837789
31,Rene,Duval,1886-09-07,FALSE,Paris,FALSE,"Fly-half, Flanker",France v England,Colombes,1908-01-01,6,6,0,0,0,0,0,0,0,0,6,0,0,France,2.3522219,48.856614
32,Pierre,Guillemin,1886-06-14,FALSE,"Fallowfield, Lancs",FALSE,"Prop, Lock",France v England,Colombes,1908-01-01,11,11,0,3,1,0,0,0,0,1,10,0,0.09090909090909091,France,-2.218652,53.4425635
33,Alfred,Mayssonnie,1884-02-10,FALSE,Lavernose,FALSE,"Fly-half, Scrum-half",France v England,Colombes,1908-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,1.261595,43.396206
34,Henri,Moure,1882-12-09,FALSE,Bordeaux,FALSE,Flanker,France v England,Colombes,1908-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-0.57918,44.837789
35,Rene von,Malmann,1885-11-02,FALSE,Paris,FALSE,"Prop, Lock",France v England,Colombes,1908-01-01,7,7,0,0,0,0,0,0,0,0,7,0,0,France,2.3522219,48.856614
36,Maurice,Leuvielle,1881-06-28,FALSE,Saint-Loubes,FALSE,"Centre, Lock, No. 8",Wales v France,Cardiff,1908-03-02,7,7,0,0,0,0,0,0,0,0,7,0,0,France,-0.4271,44.916735
37,Alphonse,Masse,1883-05-23,FALSE,Saint-Christophe-de-,FALSE,"Lock, Flanker",Wales v France,Cardiff,1908-03-02,7,7,0,0,0,0,0,0,0,0,7,0,0,France,0.015652,45.08044599999999
38,Jean,Caujolle,1888-07-31,FALSE,Saint-Girons,FALSE,Fullback,England v France,Leicester,1909-01-30,5,5,0,0,0,0,0,0,0,0,5,0,0,France,1.146088,42.982876
