cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
1,William,Allen,1855-02-09,FALSE,"West Derby, Lancs",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland,-2.909981,53.431082
2,George,Andrews,NA,NA,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland,-122.2636808,37.8009514
3,W.H.,Ash,NA,NA,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland,-122.2636808,37.8009514
4,Maurice,Barlow,1850-05-10,FALSE,Dublin,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland,-6.2603097,53.3498053
5,Richard,Bell,1847-01-01,TRUE,Not Available,FALSE,Three-quarters,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland,-122.2636808,37.8009514
6,Brab,Casement,1852-08-19,FALSE,"Ballycastle, Co Antri",FALSE,Forward,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland,-6.2532947,55.2052888
7,Abram,Combe,1852-07-16,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland,-122.2636808,37.8009514
8,Henry,Cox,1852-12-06,FALSE,Bangalore,FALSE,Forward,England v Ireland,The Oval,1875-02-15,4,4,0,0,0,0,0,0,0,0,4,0,0,Ireland,77.5945627,12.9715987
9,Abraham,Cronyn,1855-09-03,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland,-122.2636808,37.8009514
10,William,Gaffikin,1853-07-31,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland,-122.2636808,37.8009514
11,Edgar,Galbraith,1853-06-16,FALSE,Dublin,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland,-6.2603097,53.3498053
12,Richard,Galbraith,1852-06-06,FALSE,Dublin,FALSE,Fullback,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland,-6.2603097,53.3498053
13,Francis,Hewson,1852-10-09,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland,-122.2636808,37.8009514
14,Sandy,McDonald,1853-12-20,FALSE,"Newtonards, Down, Northern Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,13,13,0,0,0,0,0,0,0,1,11,1,0.07692307692307693,Ireland,-5.693170299999999,54.5913787
15,Edward,MacIlwaine,1849-01-01,TRUE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland,-122.2636808,37.8009514
