cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
1,Enrico,Allevi,NA,NA,date unknown,FALSE,Lock,Spain v Italy,Barcelona,1929-05-20,2,1,1,0,0,0,0,0,0,1,1,0,0.5,Italy,-81.563874,28.385233
2,Tommaso,Altissimi,NA,NA,date unknown,FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy,-81.563874,28.385233
3,Aldo,Balducci,NA,NA,date unknown,FALSE,No. 8,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy,-81.563874,28.385233
4,Vittorio,Barzaghi,NA,NA,date unknown,FALSE,Lock,Spain v Italy,Barcelona,1929-05-20,3,3,0,0,0,0,0,0,0,2,1,0,0.6666666666666666,Italy,-81.563874,28.385233
5,Ottavio,Bottonelli,1911-01-01,TRUE,"Firenze, FI",FALSE,Hooker,Spain v Italy,Barcelona,1929-05-20,6,6,0,3,0,0,1,0,0,2,4,0,0.3333333333333333,Italy,11.2558136,43.7695604
6,Luigi,Bricchi,1904-12-14,FALSE,"Gemonio, VA",FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,3,2,1,0,0,0,0,0,0,2,1,0,0.6666666666666666,Italy,8.6730412,45.8816445
7,Lucio,Cesani,NA,NA,date unknown,FALSE,Wing,Spain v Italy,Barcelona,1929-05-20,4,4,0,0,0,0,0,0,0,2,2,0,0.5,Italy,-81.563874,28.385233
8,Domenico,Dondana,NA,NA,date unknown,FALSE,Fullback,Spain v Italy,Barcelona,1929-05-20,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Italy,-81.563874,28.385233
9,Giovanni,Dora,NA,NA,date unknown,FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy,-81.563874,28.385233
10,Uberto,Modonesi,1907-06-03,FALSE,"Brescia, BS",FALSE,Scrum-half,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy,10.2118019,45.5415526
11,Piero,Paselli,1907-01-01,TRUE,Not Available,FALSE,Flanker,Spain v Italy,Barcelona,1929-05-20,3,3,0,0,0,0,0,0,0,2,1,0,0.6666666666666666,Italy,-122.2636808,37.8009514
12,Carlo,Raffo,NA,NA,date unknown,FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,6,6,0,0,0,0,0,0,0,4,1,1,0.6666666666666666,Italy,-81.563874,28.385233
13,Paolo Vinci,II,1908-02-06,FALSE,"New York, NY, United States",FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,3,3,0,3,1,0,0,0,0,2,1,0,0.6666666666666666,Italy,-74.0059728,40.7127753
14,Francesco Vinci,III,1910-05-02,FALSE,"New York, NY, United States",FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,15,15,0,20,4,0,0,2,0,7,6,2,0.4666666666666667,Italy,-74.0059728,40.7127753
15,Pietro Vinci,IV,1912-11-25,FALSE,Briey,FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,13,13,0,0,0,0,0,0,0,7,5,1,0.5384615384615384,Italy,5.936677,49.248466
16,Amando,Nisti,1898-08-06,FALSE,"Roma, RM",FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,2,1,1,0,0,0,0,0,0,1,1,0,0.5,Italy,12.4963655,41.9027835
17,Giovanni,Paolin,NA,NA,date unknown,FALSE,"
",Spain v Italy,Barcelona,1929-05-20,1,0,1,0,0,0,0,0,0,0,1,0,0,Italy,-81.563874,28.385233
18,Eugenio Vinci,I,1900-01-15,FALSE,"Santo Domingo, Dominican",FALSE,"
",Spain v Italy,Barcelona,1929-05-20,1,0,1,0,0,0,0,0,0,0,1,0,0,Italy,-69.93121169999999,18.4860575
19,Giuseppe,Bigi,1910-01-01,TRUE,Not Available,FALSE,Scrum-half,Italy v Spain,Milan,1930-05-29,2,2,0,0,0,0,0,0,0,2,0,0,1,Italy,-122.2636808,37.8009514
20,Alberto ,di Bello,1905-01-01,TRUE,Not Available,FALSE,Hooker,Italy v Spain,Milan,1930-05-29,4,4,0,0,0,0,0,0,0,3,0,1,0.75,Italy,-122.2636808,37.8009514
21,Angelo,Morimondi,1902-02-04,FALSE,"Milano, MI",FALSE,Fullback,Italy v Spain,Milan,1930-05-29,4,4,0,0,0,0,0,0,0,3,0,1,0.75,Italy,9.189982,45.464203500000004
22,Ernesto,Nathan,NA,NA,date unknown,FALSE,Centre,Italy v Spain,Milan,1930-05-29,1,1,0,0,0,0,0,0,0,1,0,0,1,Italy,-81.563874,28.385233
23,Giuseppe,Sessa,1895-10-25,FALSE,Not Available,FALSE,Lock,Italy v Spain,Milan,1930-05-29,1,1,0,0,0,0,0,0,0,1,0,0,1,Italy,-122.2636808,37.8009514
24,Amerigo,Centinari,NA,NA,date unknown,FALSE,"
",Italy v Spain,Milan,1930-05-29,1,0,1,0,0,0,0,0,0,1,0,0,1,Italy,-81.563874,28.385233
