cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
1,John,Arthur,1848-04-25,FALSE,Glasgow,FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Scotland,-4.251806,55.864237
2,William,Brown,1852-05-29,FALSE,Glasgow,FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,5,5,0,0,0,0,0,0,0,1,2,2,0.2,Scotland,-4.251806,55.864237
3,Angus,Buchanan,1847-01-15,FALSE,Inverary,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,1,0,0,0,0,1,0,0,1,Scotland,-5.075410199999999,56.2317854
4,Tom,Chalmers,1850-03-19,FALSE,Glasgow,FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,6,6,0,0,0,0,0,0,0,1,3,2,0.16666666666666666,Scotland,-4.251806,55.864237
5,Alfred,Clunies-Ross,1851-01-01,TRUE,Cocos Islands,FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland,96.87095599999999,-12.164165
6,Andrew,Colville,1846-12-17,FALSE,Edinburgh,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Scotland,-3.188267,55.953252
7,William,Cross,1850-09-10,FALSE,Glasgow,FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,1,1,1,0,0,0,1,1,0,0.5,Scotland,-4.251806,55.864237
8,Daniel,Drew,1850-01-01,TRUE,Dunoon,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Scotland,-4.926214,55.950973
9,Jim,Finlay,1852-04-08,FALSE,Edinburgh,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,1,2,1,0.25,Scotland,-3.188267,55.953252
10,William,Forsyth,1850-03-23,FALSE,"Logie-Easter, Ross",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland,-4.0537485,57.7535433
