cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
1,Jim,Bevan,1858-04-15,FALSE,"St Kilda, VIC",FALSE,Three-quarters,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,144.982,-37.864
2,Godfrey,Darbishire,1853-09-26,FALSE,"Chorlton, Lancs",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-2.27829,53.444858
3,Barry,Girling,1857-10-29,FALSE,Bristol,FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-2.58791,51.454513
4,George,Harding,1858-08-14,FALSE,"Rusholme, Lancs",FALSE,Forward,England v Wales,Blackheath,1881-02-19,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales,-2.2281277,53.4549564
5,Edward,Lewis,1859-12-05,FALSE,Llandovery,FALSE,Halfback,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-3.797508,51.997395
6,Bathurst,Mann,1858-05-17,FALSE,"The Curragh, Kildare",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-6.828595399999999,53.1420265
7,Charlie,Newman,1857-02-28,FALSE,Newport,FALSE,Halfback,England v Wales,Blackheath,1881-02-19,10,10,0,0,0,0,0,0,0,1,7,2,0.1,Wales,-94.1043876,37.5278234
8,Edward,Peake,1860-03-29,FALSE,"Wirewood's Green, Glo",FALSE,Three-quarters,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-81.3649291,28.6627388
9,William,Phillips,1855-08-16,FALSE,Cardiff,FALSE,Forward,England v Wales,Blackheath,1881-02-19,5,5,0,0,0,0,0,0,0,2,3,0,0.4,Wales,-3.17909,51.48158100000001
10,Frank,Purdon,1857-11-08,FALSE,"Kilcooley, Meath",FALSE,Forward,England v Wales,Blackheath,1881-02-19,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales,-6.760789099999999,53.5763675
11,Aneurin,Rees,1858-04-09,FALSE,"Tonn, Llandovery",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-3.802687,52.002038
12,Richard,Summers,1860-07-30,FALSE,Rosemoor,FALSE,Fullback,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-87.61386999999999,41.7109788
13,Edward,Treharne,1862-03-22,FALSE,Pentre,FALSE,Forward,England v Wales,Blackheath,1881-02-19,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales,-3.491629,51.654745
14,Leonard,Watkins,1859-12-07,FALSE,Llandaff,FALSE,Halfback,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-3.2239582,51.4944589
15,Richard,Williams,1856-06-15,FALSE,Llowes,FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-3.179815,52.067003
16,Thomas,Baker-Jones,1862-09-16,FALSE,Newport,FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,6,6,0,0,1,0,0,0,0,1,4,1,0.16666666666666666,Wales,-94.1043876,37.5278234
17,Ronald,Bridie,1862-06-26,FALSE,"at sea Cape of Good, -",FALSE,Halfback,Ireland v Wales,Lansdowne Road,1882-01-28,1,1,0,0,1,0,0,0,0,1,0,0,1,Wales,18.4739882,-34.3568425
18,Tom,Clapp,1858-10-25,FALSE,"Marylebone, Middx",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,14,14,0,0,2,0,0,0,0,4,8,2,0.2857142857142857,Wales,-0.1476845,51.5205813
19,Samuel,Clark,1857-05-17,FALSE,Weymouth,FALSE,Fullback,Ireland v Wales,Lansdowne Road,1882-01-28,2,2,0,0,0,0,0,0,0,2,0,0,1,Wales,-70.94103559999999,42.2180724
20,Bill,Evans,1857-04-24,FALSE,Rhymney,FALSE,Three-quarters,Ireland v Wales,Lansdowne Road,1882-01-28,2,2,0,0,1,0,0,0,0,1,1,0,0.5,Wales,-3.2853629,51.759452
21,Bob,Gould,1863-02-26,FALSE,Newport,FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,11,11,0,0,0,0,0,0,0,2,7,2,0.18181818181818182,Wales,-94.1043876,37.5278234
22,Charles,Lewis,1853-08-20,FALSE,Llanwrda,FALSE,Fullback,Ireland v Wales,Lansdowne Road,1882-01-28,5,5,0,4,0,4,0,0,0,1,4,0,0.2,Wales,-3.874428,51.968201
23,George,Morris,1859-01-29,FALSE,"Sketty Park, Swansea",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,5,5,0,0,0,0,0,0,0,1,4,0,0.2,Wales,-3.9951841,51.615907
24,William,Norton,1862-04-28,FALSE,Carmarthen,FALSE,Three-quarters,Ireland v Wales,Lansdowne Road,1882-01-28,6,6,0,0,1,0,0,0,0,2,4,0,0.3333333333333333,Wales,-4.312131,51.85762
25,Hugh,Vincent,1862-04-27,FALSE,Caernarfon,FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales,-4.273911,53.139551
26,Tom,Williams,1859-10-09,FALSE,"Pandy, Glamorgan",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales,-3.4429093,51.6077233
27,Harry,Bowen,1864-05-04,FALSE,Llanelly,FALSE,Fullback,Wales v England,Swansea,1882-12-16,4,4,0,0,0,0,0,0,0,0,3,1,0,Wales,-3.114332,51.824049
28,Alfred,Cattell,1857-04-27,FALSE,"Cottesmore, Rutland",FALSE,Forward,Wales v England,Swansea,1882-12-16,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales,-0.6633295,52.713345
29,James,Clare,1857-05-11,FALSE,"Stepney, Middx",FALSE,Three-quarters,Wales v England,Swansea,1882-12-16,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales,-0.0491574,51.5222254
