cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
1,William,Allen,1855-02-09,FALSE,"West Derby, Lancs, UK",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
2,George,Andrews,NA,NA,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
3,W.H.,Ash,NA,NA,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
4,Maurice,Barlow,1850-05-10,FALSE,"Dublin, Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
5,Richard,Bell,1847-01-01,TRUE,Not Available,FALSE,Three-quarters,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
6,Brab,Casement,1852-08-19,FALSE,"Ballycastle, Co Antri, Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
7,Abram,Combe,1852-07-16,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
8,Henry,Cox,1852-12-06,FALSE,"Bangalore, India",FALSE,Forward,England v Ireland,The Oval,1875-02-15,4,4,0,0,0,0,0,0,0,0,4,0,0,Ireland
9,Abraham,Cronyn,1855-09-03,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
10,William,Gaffikin,1853-07-31,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
11,Edgar,Galbraith,1853-06-16,FALSE,"Dublin, Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
12,Richard,Galbraith,1852-06-06,FALSE,"Dublin, Ireland",FALSE,Fullback,England v Ireland,The Oval,1875-02-15,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
13,Francis,Hewson,1852-10-09,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
14,Sandy,McDonald,1853-12-20,FALSE,"Newtonards, Down, Northern Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,13,13,0,0,0,0,0,0,0,1,11,1,0.07692307692307693,Ireland
15,Edward,MacIlwaine,1849-01-01,TRUE,Not Available,FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
16,Robert,Maginniss,1854-03-14,FALSE,"Newton-Saville, Tyron, Northern Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
17,John,Myles,1855-03-13,FALSE,"Limerick, Ireland",FALSE,Halfback,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
18,George,Stack,1850-01-01,TRUE,"Omagh, Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
19,Robert,Walkington,1854-08-08,FALSE,"Alabama, United States",FALSE,Fullback,England v Ireland,The Oval,1875-02-15,10,10,0,0,0,0,0,0,0,0,9,1,0,Ireland
20,Henry,Walsh,1853-09-16,FALSE,"Dublin, Ireland",FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
21,David,Arnott,1855-04-27,FALSE,"Tynemouth, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
22,Tim,Cuscaden,1853-11-01,FALSE,"Wexford, Ireland",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
23,William,Finlay,NA,NA,Not Available,FALSE,Forward,Ireland v England,Dublin,1875-12-13,8,8,0,0,0,0,0,0,0,0,8,0,0,Ireland
24,R.,Greer,NA,NA,Not Available,FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
25,Edward,Hobson,1851-12-05,FALSE,"Hollyfort, Wexford, Ireland",FALSE,Three-quarters,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
26,John,Ireland,NA,NA,Not Available,FALSE,Forward,Ireland v England,Dublin,1875-12-13,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
27,Hamilton,Moore,1856-06-12,FALSE,"Connor, Antrim, Ireland",FALSE,Fullback,Ireland v England,Dublin,1875-12-13,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
28,Ashley,Westby,1853-01-01,TRUE,"Dublin, Ireland",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
29,Harry,Brown,1857-05-22,FALSE,"Donaghmore, Co.Tyrone, Ireland",FALSE,Three-quarters,England v Ireland,The Oval,1877-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
30,Thomas,Brown,1858-12-21,FALSE,"Donaghmore, Co.Tyrone, Ireland",FALSE,Forward,England v Ireland,The Oval,1877-02-05,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
31,Henry,Edwards,1857-07-18,FALSE,"Llanddeiniolen, UK",FALSE,Forward,England v Ireland,The Oval,1877-02-05,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
32,Thomas,Gordon,1851-12-15,FALSE,Not Available,FALSE,Halfback,England v Ireland,The Oval,1877-02-05,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
33,William,Hamilton,1850-07-01,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1877-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
34,Harry,Jackson,1853-11-03,FALSE,"Clones, Monaghan, Ireland",FALSE,Forward,England v Ireland,The Oval,1877-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
35,Hugh,Kelly,1849-01-01,TRUE,Not Available,FALSE,Forward,England v Ireland,The Oval,1877-02-05,6,6,0,0,0,0,0,0,0,0,6,0,0,Ireland
36,Frederick,Kidd,1857-05-03,FALSE,"Newry, UK",FALSE,Three-quarters,England v Ireland,The Oval,1877-02-05,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
37,Augustus,Whitestone,1856-10-29,FALSE,"Dublin, Ireland",FALSE,Halfback,England v Ireland,The Oval,1877-02-05,5,5,0,0,0,0,0,0,0,0,5,0,0,Ireland
38,William,Wilson,1852-11-25,FALSE,Not Available,FALSE,Forward,England v Ireland,The Oval,1877-02-05,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
39,J.,Currell,NA,NA,Not Available,FALSE,Forward,Ireland v Scotland,Belfast,1877-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Ireland
40,James,Heron,1855-01-01,TRUE,"Moira, Down, Ireland",FALSE,Halfback,Ireland v Scotland,Belfast,1877-02-19,2,2,0,0,0,0,0,0,0,0,2,0,0,Ireland
41,Henry,Murray,1854-05-12,FALSE,"Dublin, Ireland",FALSE,Forward,Ireland v Scotland,Belfast,1877-02-19,3,3,0,0,0,0,0,0,0,0,3,0,0,Ireland
