cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
1,Enrico,Allevi,NA,NA,date unknown,FALSE,Lock,Spain v Italy,Barcelona,1929-05-20,2,1,1,0,0,0,0,0,0,1,1,0,0.5,Italy
2,Tommaso,Altissimi,NA,NA,date unknown,FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy
3,Aldo,Balducci,NA,NA,date unknown,FALSE,No. 8,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy
4,Vittorio,Barzaghi,NA,NA,date unknown,FALSE,Lock,Spain v Italy,Barcelona,1929-05-20,3,3,0,0,0,0,0,0,0,2,1,0,0.6666666666666666,Italy
5,Ottavio,Bottonelli,1911-01-01,TRUE,"Firenze, FI, Italy",FALSE,Hooker,Spain v Italy,Barcelona,1929-05-20,6,6,0,3,0,0,1,0,0,2,4,0,0.3333333333333333,Italy
6,Luigi,Bricchi,1904-12-14,FALSE,"Gemonio, VA, Italy",FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,3,2,1,0,0,0,0,0,0,2,1,0,0.6666666666666666,Italy
7,Lucio,Cesani,NA,NA,date unknown,FALSE,Wing,Spain v Italy,Barcelona,1929-05-20,4,4,0,0,0,0,0,0,0,2,2,0,0.5,Italy
8,Domenico,Dondana,NA,NA,date unknown,FALSE,Fullback,Spain v Italy,Barcelona,1929-05-20,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Italy
9,Giovanni,Dora,NA,NA,date unknown,FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy
10,Uberto,Modonesi,1907-06-03,FALSE,"Brescia, BS, Italy",FALSE,Scrum-half,Spain v Italy,Barcelona,1929-05-20,1,1,0,0,0,0,0,0,0,0,1,0,0,Italy
11,Piero,Paselli,1907-01-01,TRUE,Not Available,FALSE,Flanker,Spain v Italy,Barcelona,1929-05-20,3,3,0,0,0,0,0,0,0,2,1,0,0.6666666666666666,Italy
12,Carlo,Raffo,NA,NA,date unknown,FALSE,Prop,Spain v Italy,Barcelona,1929-05-20,6,6,0,0,0,0,0,0,0,4,1,1,0.6666666666666666,Italy
13,Paolo Vinci,II,1908-02-06,FALSE,"New York, NY, United States",FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,3,3,0,3,1,0,0,0,0,2,1,0,0.6666666666666666,Italy
14,Francesco Vinci,III,1910-05-02,FALSE,"New York, NY, United States",FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,15,15,0,20,4,0,0,2,0,7,6,2,0.4666666666666667,Italy
15,Pietro Vinci,IV,1912-11-25,FALSE,"Briey, France",FALSE,Centre,Spain v Italy,Barcelona,1929-05-20,13,13,0,0,0,0,0,0,0,7,5,1,0.5384615384615384,Italy
