cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
1,John,Arthur,1848-04-25,FALSE,"Glasgow, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Scotland
2,William,Brown,1852-05-29,FALSE,"Glasgow, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,5,5,0,0,0,0,0,0,0,1,2,2,0.2,Scotland
3,Angus,Buchanan,1847-01-15,FALSE,"Inverary, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,1,0,0,0,0,1,0,0,1,Scotland
4,Tom,Chalmers,1850-03-19,FALSE,"Glasgow, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,6,6,0,0,0,0,0,0,0,1,3,2,0.16666666666666666,Scotland
5,Alfred,Clunies-Ross,1851-01-01,TRUE,"Cocos Islands, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
6,Andrew,Colville,1846-12-17,FALSE,"Edinburgh, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Scotland
7,William,Cross,1850-09-10,FALSE,"Glasgow, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,1,1,1,0,0,0,1,1,0,0.5,Scotland
8,Daniel,Drew,1850-01-01,TRUE,"Dunoon, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Scotland
9,Jim,Finlay,1852-04-08,FALSE,"Edinburgh, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,1,2,1,0.25,Scotland
10,William,Forsyth,1850-03-23,FALSE,"Logie-Easter, Ross, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
11,Robert,Irvine,1853-04-19,FALSE,"Blair Atholl, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,13,13,0,0,1,0,0,0,0,5,4,4,0.38461538461538464,Scotland
12,William,Lyall,1848-01-27,FALSE,"St Cuthbert's, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
13,John,MacFarlane,1851-06-19,FALSE,"Montego Bay, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,Scotland
14,Thomas,Marshall,1849-06-26,FALSE,"Chatton Park, NHumb, UK",FALSE,Three-quarters,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,0,0,0,0,0,1,2,1,0.25,Scotland
15,James,Mein,1852-07-01,FALSE,"Jedburgh, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,5,5,0,0,0,0,0,0,0,1,2,2,0.2,Scotland
16,Francis,Moncreiff,1849-08-27,FALSE,"Midlothian, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,Scotland
17,Robert,Munro,1839-01-01,TRUE,Not Available,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
18,George,Ritchie,1848-04-16,FALSE,"Edinburgh, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
19,Alexander,Robertson,1848-10-01,FALSE,"Ayr, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
20,John,Thomson,1845-08-09,FALSE,Not Available,FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,1,0,0,1,Scotland
21,John,Anderson,1849-05-09,FALSE,"Edinburgh, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
22,Leslie,Balfour-Melville,1854-03-09,FALSE,"Bonnington, Edinburgh, UK",FALSE,Fullback,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
23,Edward,Bannerman,1850-01-14,FALSE,"Aberdeenshire, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
24,Charles,Cathcart,1853-03-16,FALSE,"Edinburgh, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,3,3,0,1,0,0,0,1,0,0,2,1,0,Scotland
25,James,McClure,1851-07-08,FALSE,"Barony, Glasgow, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
26,Reginald,Maitland,1851-03-06,FALSE,"Southsea, Hants, UK",FALSE,Three-quarters,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
27,William,Marshall,1852-06-22,FALSE,Not Available,FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
28,Frederick,Maxwell,1849-01-10,FALSE,"Devonport, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
29,Henry,Renny-Tailyour,1849-10-09,FALSE,"Mussorrie, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
30,Henry,Allan,1850-04-02,FALSE,"Glasgow, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,Scotland
31,Peter,Anton,1850-06-25,FALSE,"Errol, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,Scotland
32,Charles,Bryce,1848-04-16,FALSE,"Glasgow, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
33,John,Davidson,1851-09-03,FALSE,"Banchory, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
34,William,Grant,1853-07-20,FALSE,"Bengal, India",FALSE,Halfback,Scotland v England,Glasgow,1873-03-03,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
35,George,McClure,1851-07-08,FALSE,"Barony, Glasgow, UK",FALSE,Three-quarters,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,Scotland
36,Alexander,Petrie,1853-02-14,FALSE,"Birkenhead, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,11,11,0,0,0,0,0,0,0,4,3,4,0.36363636363636365,Scotland
37,James,Sanderson,1852-01-29,FALSE,"Madras, India",FALSE,Fullback,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,Scotland
38,Tom,Whittington,1848-08-19,FALSE,"Tonna, Neath, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,Scotland
39,Robert,Wilson,1854-02-04,FALSE,Not Available,FALSE,Forward,Scotland v England,Glasgow,1873-03-03,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
40,Alexander,Wood,1848-04-30,FALSE,"Fetteresso, Kincardin, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,3,3,0,0,0,0,0,0,0,0,1,2,0,Scotland
41,Hugh,Hamilton,1854-06-26,FALSE,"New South Wales, Australia",FALSE,Three-quarters,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
42,Gilbert,Heron,1854-09-06,FALSE,Not Available,FALSE,Forward,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
43,William,Kidston,1852-04-29,FALSE,"Glasgow, UK",FALSE,Three-quarters,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
44,Tom,Neilson,1851-10-22,FALSE,Not Available,FALSE,Forward,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
45,James,Reid,1851-02-24,FALSE,Not Available,FALSE,Forward,England v Scotland,The Oval,1874-02-23,5,5,0,0,1,0,0,0,0,2,2,1,0.4,Scotland
46,Alexander,Stewart,1852-08-30,FALSE,"Bombay, India",FALSE,Halfback,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,0,2,0,0,Scotland
47,John,Tod,1852-09-11,FALSE,"Glasgow, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,0,1,1,0,Scotland
48,Arthur,Young,1855-10-31,FALSE,Not Available,FALSE,Forward,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,0,1,0,0,Scotland
