cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
1,Jim,Bevan,1858-04-15,FALSE,"St Kilda, VIC, Australia",FALSE,Three-quarters,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
2,Godfrey,Darbishire,1853-09-26,FALSE,"Chorlton, Lancs, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
3,Barry,Girling,1857-10-29,FALSE,"Bristol, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
4,George,Harding,1858-08-14,FALSE,"Rusholme, Lancs, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales
5,Edward,Lewis,1859-12-05,FALSE,"Llandovery, UK",FALSE,Halfback,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
6,Bathurst,Mann,1858-05-17,FALSE,"The Curragh, Kildare, Ireland",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
7,Charlie,Newman,1857-02-28,FALSE,"Newport, UK",FALSE,Halfback,England v Wales,Blackheath,1881-02-19,10,10,0,0,0,0,0,0,0,1,7,2,0.1,Wales
8,Edward,Peake,1860-03-29,FALSE,"Wirewood's Green, Glo, UK",FALSE,Three-quarters,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
9,William,Phillips,1855-08-16,FALSE,"Cardiff, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,5,5,0,0,0,0,0,0,0,2,3,0,0.4,Wales
10,Frank,Purdon,1857-11-08,FALSE,"Kilcooley, Meath, Ireland",FALSE,Forward,England v Wales,Blackheath,1881-02-19,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales
11,Aneurin,Rees,1858-04-09,FALSE,"Tonn, Llandovery, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
12,Richard,Summers,1860-07-30,FALSE,"Rosemoor, UK",FALSE,Fullback,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
13,Edward,Treharne,1862-03-22,FALSE,"Pentre, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
14,Leonard,Watkins,1859-12-07,FALSE,"Llandaff, UK",FALSE,Halfback,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
15,Richard,Williams,1856-06-15,FALSE,"Llowes, UK",FALSE,Forward,England v Wales,Blackheath,1881-02-19,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
16,Thomas,Baker-Jones,1862-09-16,FALSE,"Newport, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,6,6,0,0,1,0,0,0,0,1,4,1,0.16666666666666666,Wales
17,Ronald,Bridie,1862-06-26,FALSE,"at sea Cape of Good, -, South Africa",FALSE,Halfback,Ireland v Wales,Lansdowne Road,1882-01-28,1,1,0,0,1,0,0,0,0,1,0,0,1,Wales
18,Tom,Clapp,1858-10-25,FALSE,"Marylebone, Middx, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,14,14,0,0,2,0,0,0,0,4,8,2,0.2857142857142857,Wales
19,Samuel,Clark,1857-05-17,FALSE,"Weymouth, UK",FALSE,Fullback,Ireland v Wales,Lansdowne Road,1882-01-28,2,2,0,0,0,0,0,0,0,2,0,0,1,Wales
20,Bill,Evans,1857-04-24,FALSE,"Rhymney, UK",FALSE,Three-quarters,Ireland v Wales,Lansdowne Road,1882-01-28,2,2,0,0,1,0,0,0,0,1,1,0,0.5,Wales
21,Bob,Gould,1863-02-26,FALSE,"Newport, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,11,11,0,0,0,0,0,0,0,2,7,2,0.18181818181818182,Wales
22,Charles,Lewis,1853-08-20,FALSE,"Llanwrda, UK",FALSE,Fullback,Ireland v Wales,Lansdowne Road,1882-01-28,5,5,0,4,0,4,0,0,0,1,4,0,0.2,Wales
23,George,Morris,1859-01-29,FALSE,"Sketty Park, Swansea, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,5,5,0,0,0,0,0,0,0,1,4,0,0.2,Wales
24,William,Norton,1862-04-28,FALSE,"Carmarthen, UK",FALSE,Three-quarters,Ireland v Wales,Lansdowne Road,1882-01-28,6,6,0,0,1,0,0,0,0,2,4,0,0.3333333333333333,Wales
25,Hugh,Vincent,1862-04-27,FALSE,"Caernarfon, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
26,Tom,Williams,1859-10-09,FALSE,"Pandy, Glamorgan, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1882-01-28,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
27,Harry,Bowen,1864-05-04,FALSE,"Llanelly, UK",FALSE,Fullback,Wales v England,Swansea,1882-12-16,4,4,0,0,0,0,0,0,0,0,3,1,0,Wales
28,Alfred,Cattell,1857-04-27,FALSE,"Cottesmore, Rutland, UK",FALSE,Forward,Wales v England,Swansea,1882-12-16,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
29,James,Clare,1857-05-11,FALSE,"Stepney, Middx, UK",FALSE,Three-quarters,Wales v England,Swansea,1882-12-16,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
30,Dai,Gwyn,1861-12-28,FALSE,"Swansea, UK",FALSE,Centre,Wales v England,Swansea,1882-12-16,6,6,0,0,0,0,0,0,0,1,4,1,0.16666666666666666,Wales
31,Thomas,Judson,1857-07-09,FALSE,"Ashton-under-Lyne, La, UK",FALSE,Forward,Wales v England,Swansea,1882-12-16,2,2,0,0,1,0,0,0,0,0,2,0,0,Wales
32,John,Griffin,1859-08-02,FALSE,"Southampton, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1883-01-08,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
33,Arthur,Jones,1856-05-26,FALSE,"Risca, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1883-01-08,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
34,Horace,Lyne,1860-12-31,FALSE,"Newport, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1883-01-08,5,5,0,0,0,0,0,0,0,1,4,0,0.2,Wales
35,Charles,Allen,1861-12-02,FALSE,"Prestwich, Lancashire, UK",FALSE,Three-quarters,England v Wales,Leeds,1884-01-05,2,2,0,0,1,0,0,0,0,0,2,0,0,Wales
36,Frederick,Andrews,1864-09-15,FALSE,"Swansea, UK",FALSE,Forward,England v Wales,Leeds,1884-01-05,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
37,William,Gwynn,1856-03-27,FALSE,"Swansea, UK",FALSE,Halfback,England v Wales,Leeds,1884-01-05,5,5,0,0,0,0,0,0,0,1,3,1,0.2,Wales
38,Frederick,Margrave,1858-12-25,FALSE,"Llanelly, UK",FALSE,Forward,England v Wales,Leeds,1884-01-05,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
39,Joe,Simpson,1855-12-16,FALSE,"Sedgefield, Durham, UK",FALSE,Forward,England v Wales,Leeds,1884-01-05,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
40,John,Smith,NA,NA,"Manchester, UK",FALSE,Forward,England v Wales,Leeds,1884-01-05,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
41,Charles,Taylor,1863-05-08,FALSE,"Ruabon, UK",FALSE,Three-quarters,England v Wales,Leeds,1884-01-05,9,9,0,1,0,1,0,0,0,2,5,2,0.2222222222222222,Wales
42,Tom,Barlow,1864-11-03,FALSE,"Pendleton, Lancs, UK",FALSE,Fullback,Wales v Ireland,Cardiff,1884-04-12,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
43,Samuel,Goldsworthy,1855-02-11,FALSE,"Swansea, UK",FALSE,Forward,Wales v Ireland,Cardiff,1884-04-12,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,Wales
44,Frank,Hancock,1859-12-07,FALSE,"Wiveliscombe, UK",FALSE,Three-quarters,Wales v Ireland,Cardiff,1884-04-12,4,4,0,0,0,0,0,0,0,1,2,1,0.25,Wales
45,John,Hinton,1860-12-12,FALSE,"Bombay, India",FALSE,Forward,Wales v Ireland,Cardiff,1884-04-12,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
46,Buckley,Roderick,1862-01-17,FALSE,"Llanelly, UK",FALSE,Forward,Wales v Ireland,Cardiff,1884-04-12,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
47,Buller,Staddan,1861-01-01,TRUE,"Cardiff, UK",FALSE,Halfback,Wales v Ireland,Cardiff,1884-04-12,8,8,0,1,2,0,0,1,0,5,3,0,0.625,Wales
48,Arthur,Gould,1864-10-10,FALSE,"Newport, UK",FALSE,Centre,Wales v England,Swansea,1885-01-03,27,27,0,13,4,1,0,2,0,10,14,3,0.37037037037037035,Wales
49,Martyn,Jordan,1865-03-07,FALSE,"Clifton, Bristol, UK",FALSE,Three-quarters,Wales v England,Swansea,1885-01-03,3,3,0,0,2,0,0,0,0,0,2,1,0,Wales
50,Evan,Richards,1862-01-23,FALSE,"Swansea, UK",FALSE,Forward,Wales v England,Swansea,1885-01-03,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
51,Ernest,Rowland,1864-09-21,FALSE,"Neath, UK",FALSE,Forward,Wales v England,Swansea,1885-01-03,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
52,Lewis,Thomas,1865-08-06,FALSE,"Merthyr Tydfil, UK",FALSE,Forward,Wales v England,Swansea,1885-01-03,2,2,0,0,0,0,0,0,0,0,1,1,0,Wales
53,Edward,Alexander,1863-08-07,FALSE,"Monknash, UK",FALSE,Forward,Scotland v Wales,Glasgow,1885-01-10,5,5,0,0,0,0,0,0,0,1,2,2,0.2,Wales
