country,cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,lon,lat
England,1,John,Bentley,1847-01-01,TRUE,"Derbyshire, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,-1.5623885,53.1046782
England,2,Reginald,Birkett,1849-03-28,FALSE,"London, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,2,1,1,0.5,-0.1277583,51.5073509
England,3,Benjamin,Burns,1848-05-28,FALSE,"Perth, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-3.4308381,56.394994
England,4,John,Clayton,1848-08-24,FALSE,"Liverpool, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.9915726,53.4083714
England,5,Charles,Crompton,1848-10-21,FALSE,"Cork, Ireland",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-8.4756035,51.8985143
England,6,Alfred,Davenport,1849-05-05,FALSE,"Oxford, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.2577263,51.7520209
England,7,John,Dugdale,1851-10-15,FALSE,"Salford, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.2901264,53.48752349999999
England,8,Arthur,Gibson,1844-07-14,FALSE,"New Forest, Hampshire, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.6327718,50.8758752
England,9,Joseph,Green,1846-04-28,FALSE,"W Ham, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0124751,51.538008
England,10,Arthur,Guillemard,1845-12-18,FALSE,"Lewisham, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,-0.0117006,51.4414579
England,11,Alfred,Hamersley,1848-10-08,FALSE,"Great Haseley, Oxon, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,4,4,0,0,1,0,0,0,0,2,1,1,0.5,-1.0705222,51.71124589999999
England,12,Harry,Luscombe,1848-05-25,FALSE,"Forest Hill, Kent, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5199718,51.261648
England,13,Arthur,Lyon,1851-08-04,FALSE,"W Derby, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.4746186,52.9225301
England,14,William,MacLaren,NA,NA,"Chorlton, Lancashire, UK",FALSE,Three-quarters,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.27829,53.444858
England,15,Richard,Osborne,1848-05-20,FALSE,"Middleham, Yorks, UK",FALSE,Fullback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.8056301,54.285318
England,16,Charles,Sherrard,1848-12-25,FALSE,"Kensington, London, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,2,2,0,0,0,0,0,0,0,1,1,0,0.5,-0.1938253,51.4990805
England,17,Frederic,Stokes,1850-07-12,FALSE,"Greenwich, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,0.0098214,51.4933675
